
2025/04/09 (08:18:17) | ===> btop++ v.1.4.0
2025/04/09 (08:18:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/10 (13:46:52) | ===> btop++ v.1.4.0
2025/04/10 (13:46:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/27 (10:07:10) | ===> btop++ v.1.3.0
2025/06/27 (10:07:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/27 (10:09:33) | WARNING: Failed to join _runner thread on exit!

2025/07/28 (07:35:54) | ===> btop++ v.1.4.0
2025/07/28 (07:35:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/28 (07:35:54) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/28 (07:37:59) | WARNING: Failed to join _runner thread on exit!

2025/07/28 (12:54:16) | ===> btop++ v.1.4.0
2025/07/28 (12:54:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/28 (12:54:16) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/28 (12:55:23) | WARNING: Failed to join _runner thread on exit!
